timestamp;open;low;high;close;volume
12/01/2016;145;141;199;173;25182100
13/01/2016;174;158;179;161;7038900
14/01/2016;159;145;159;145;2414200
15/01/2016;145;133;145;134;855100
18/01/2016;134;123;174;128;11292700
19/01/2016;129;127;145;128;878100
20/01/2016;133;124;133;125;950100
21/01/2016;125;121;138;124;640600
22/01/2016;130;122;130;127;407700
25/01/2016;124;122;130;124;281600
26/01/2016;126;123;130;124;299400
27/01/2016;126;119;126;124;241900
28/01/2016;124;112;124;116;263300
29/01/2016;118;113;119;116;47500
01/02/2016;118;106;118;115;105500
02/02/2016;116;110;116;110;1479900
03/02/2016;118;101;118;107;120600
04/02/2016;105;105;112;111;262900
05/02/2016;111;111;116;112;98800
08/02/2016;111;111;116;112;0
09/02/2016;120;113;121;120;223600
10/02/2016;120;117;120;117;17700
11/02/2016;117;115;125;125;150400
12/02/2016;125;120;130;120;160900
15/02/2016;125;120;125;120;131200
16/02/2016;125;112;125;120;344600
17/02/2016;115;115;120;120;1000
18/02/2016;119;117;125;118;57700
19/02/2016;110;110;117;117;3100
22/02/2016;110;109;120;110;282400
23/02/2016;107;106;126;117;166400
24/02/2016;106;106;122;119;64900
25/02/2016;119;116;120;119;51100
26/02/2016;119;116;122;116;171400
29/02/2016;117;116;119;116;89900
01/03/2016;117;114;119;114;134300
02/03/2016;120;119;121;121;241200
03/03/2016;122;120;125;125;121400
04/03/2016;126;123;127;127;135000
07/03/2016;128;125;130;125;135000
08/03/2016;127;126;133;128;64800
09/03/2016;127;126;133;128;0
10/03/2016;128;128;130;128;157100
11/03/2016;128;128;130;128;0
14/03/2016;128;128;130;128;0
15/03/2016;132;132;133;133;11400
16/03/2016;133;131;135;133;70300
17/03/2016;134;134;139;134;12400
18/03/2016;137;136;138;136;22500
21/03/2016;136;136;145;140;30900
22/03/2016;135;135;139;135;43000
23/03/2016;140;136;140;136;39800
24/03/2016;138;137;138;138;64400
25/03/2016;138;137;138;138;0
28/03/2016;141;138;142;138;97600
29/03/2016;148;137;148;137;34600
30/03/2016;142;137;142;137;8200
31/03/2016;145;134;145;138;121400
01/04/2016;138;138;138;138;4500
